#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9553594874878972	0.13433936995405693	-0.2006558050570688	1.6e-10	8.086552285391209e-21	-5.696554995283486e-22	8.483622196239862e-22	8.086178806502993e-21	-5.674214489845558e-22	8.50031078566419e-22
1.603200e-07	-0.06439637444294509	-0.01314513381761687	0.07354346120721678	1.6e-10	-3.7824337956053874e-22	4.346176947421664e-23	-3.1132766452660566e-22	-7.118854887882708e-22	6.780150263012375e-23	-3.111598233018367e-22
3.204800e-07	-0.08631685381554928	-0.0002634523224319315	0.07816709652979159	1.6e-10	-5.733808183100777e-22	-9.622329188425165e-24	-3.3356700299496915e-22	-8.87827786543177e-22	1.1852375565865452e-23	-3.280557190789681e-22
4.806400e-07	-0.14923086706844493	-0.03120889164458966	0.025290378615432575	1.6e-10	-1.1216105608555787e-21	1.2342647661089382e-22	-1.0568752317957168e-22	-1.4046338332516077e-21	1.4073220649986521e-22	-1.083755702774305e-22
6.408000e-07	-0.228305304808695	-0.00831766209429702	0.014743610512102868	1.6e-10	-1.8050298862556287e-21	2.4259048434908212e-23	-6.64206508603347e-23	-2.059819842032617e-21	4.6143364512612037e-23	-5.83724127983231e-23
8.009600e-07	-0.24497495961543259	0.005399578566759516	0.004253059151582799	1.6e-10	-1.9505828991539345e-21	-3.3403851189697936e-23	-2.0242819149702113e-23	-2.1964575673359024e-21	-1.2299323154883147e-23	-1.575602563242402e-23
9.611200e-07	-0.27995985114209837	0.0019278796843455494	0.03645222903489032	1.6e-10	-2.253537072202089e-21	-1.3840038590425615e-23	-1.5889340539829426e-22	-2.4857426148149473e-21	-2.4779971855847632e-24	-1.4964600670810198e-22
1.121280e-06	-0.33575477507327955	-0.015204317045570126	0.016669873059446748	1.6e-10	-2.7412473683133964e-21	5.9250292262793e-23	-7.412695206720183e-23	-2.9425520633863408e-21	6.944214327974667e-23	-6.697053150666689e-23
1.281440e-06	-0.3769766471414459	-0.038979115284617685	0.019115986744200394	1.6e-10	-3.0951656555810276e-21	1.6402266200206525e-22	-8.449662176362207e-23	-3.2864550729712345e-21	1.6590462994540118e-22	-7.730539234986306e-23
1.441600e-06	-0.41158599813198493	-0.016119639507407593	0.025447059945888913	1.6e-10	-3.392771861514256e-21	6.685536605325289e-23	-1.1588634784979875e-22	-3.574730592999726e-21	6.958450321455868e-23	-9.950304180297033e-23
1.601760e-06	-0.4280273110636435	-0.03493788608577525	0.007601660579102482	1.6e-10	-3.53917954741309e-21	1.4489685823638849e-22	-3.734886718918622e-23	-3.706648703679549e-21	1.5082487689522653e-22	-2.699319427083817e-23
